Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		58.39mV
Average              :		-0.192mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		4.00000uS

index		CH1_Voltage(mV)
726		-6.200000
727		-6.437500
728		-6.200000
729		-6.137500
730		-6.025000
731		-6.025000
732		-6.075000
733		-5.900000
734		-5.962500
735		-6.662500
736		-5.725000
737		-6.437500
738		-6.550000
739		-6.487500
740		-6.900000
741		-6.200000
742		-6.962500
743		-7.487500
744		-7.250000
745		-8.425000
746		-8.012500
747		-8.312500
748		-8.425000
749		-8.550000
750		-8.900000
751		-8.200000
752		-8.425000
753		-8.487500
754		-8.312500
755		-8.837500
756		-8.312500
757		-7.900000
758		-8.312500
759		-8.250000
760		-7.612500
761		-7.612500
762		-7.787500
763		-7.425000
764		-7.662500
765		-7.837500
766		-7.137500
767		-6.550000
768		-7.250000
769		-6.787500
770		-6.900000
771		-6.662500
772		-5.662500
773		-5.787500
774		-5.612500
775		-5.612500
776		-5.487500
777		-4.900000
778		-5.662500
779		-5.137500
780		-5.200000
781		-5.787500
782		-5.375000
783		-6.375000
784		-5.725000
785		-5.612500
786		-6.250000
787		-6.025000
788		-6.250000
789		-6.612500
790		-6.200000
791		-6.837500
792		-6.662500
793		-6.250000
794		-7.137500
795		-6.487500
796		-7.312500
797		-7.075000
798		-7.200000
799		-7.612500
800		-6.312500
801		-7.612500
802		-7.137500
803		-6.962500
804		-7.312500
805		-6.612500
806		-6.787500
807		-7.137500
808		-6.137500
809		-6.550000
810		-5.312500
811		-5.550000
812		-4.900000
813		-5.025000
814		-5.025000
815		-4.025000
816		-4.137500
817		-3.612500
818		-3.075000
819		-3.200000
820		-2.725000
821		-2.962500
822		-3.075000
823		-2.312500
824		-2.200000
825		-2.137500
826		-2.725000
827		-2.962500
828		-1.787500
829		-2.262500
830		-2.437500
831		-2.025000
832		-2.725000
833		-1.962500
834		-2.375000
835		-2.725000
836		-2.850000
837		-3.137500
838		-2.725000
839		-3.200000
